Country,Literacy rate (all),Male literacy,Female literacy,Gender difference,Year,Notes,Country Name,Country Code,undernourished rate in (2021),IncomeGroup,GDP per capita (2021)
Afghanistan,37.3,52.1,22.6,29.5,1/01/2021,,Afghanistan,AFG,30.1,Low income,355.78
Albania,98.1,98.5,97.8,0.7,1/01/2018,,Albania,ALB,4.1,Upper middle income,6377.2
Algeria,81.4,87.4,75.3,12.1,1/01/2018,,Algeria,DZA,2.5,Upper middle income,4216.25
Andorra,100.0,100.0,100.0,0.0,1/01/2016,,Andorra,AND,,High income,42066.49
Angola,71.1,82.0,60.7,21.3,1/01/2015,,Angola,AGO,21.6,Lower middle income,1927.47
Antigua and Barbuda,99.0,98.4,99.4,1.0,1/01/2015,,Antigua and Barbuda,ATG,,High income,17178.54
Argentina,99.0,98.9,99.1,0.2,1/01/2018,,Argentina,ARG,3.2,Upper middle income,10650.86
Armenia,99.8,99.8,99.7,0.1,1/01/2020,,Armenia,ARM,2.5,Upper middle income,4972.78
Australia,99.0,,,,,,Australia,AUS,2.5,High income,60697.25
Austria,98.0,,,,,,Austria,AUT,2.5,High income,53517.89
Azerbaijan,99.8,99.9,99.7,0.2,1/01/2019,,Azerbaijan,AZE,2.5,Upper middle income,5408.05
Bahrain,97.5,99.9,94.9,5.0,1/01/2018,,Bahrain,BHR,,High income,26850.0
Bangladesh,74.66,76.56,72.82,3.72,1/01/2022,,Bangladesh,BGD,11.2,Lower middle income,2457.96
Barbados,99.6,99.6,99.6,0.0,1/01/2014,,Barbados,BRB,2.5,High income,17586.33
Belarus,99.9,99.9,99.9,0.0,1/01/2019,,Belarus,BLR,2.5,Upper middle income,7489.72
Belgium,99.0,,,,,,Belgium,BEL,2.5,High income,51863.83
Belize,83.0,,,,,,Belize,BLZ,4.9,Upper middle income,6060.97
Benin,42.4,54.0,31.1,22.9,1/01/2018,,Benin,BEN,9.9,Lower middle income,1360.91
Bhutan,66.6,75.0,57.1,17.9,1/01/2017,,Bhutan,BTN,,Lower middle income,3561.23
Bolivia,92.5,96.5,88.6,7.9,1/01/2015,,Bolivia,BOL,19.4,Lower middle income,3345.02
Bosnia and Herzegovina,98.5,99.5,97.5,2.0,1/01/2015,,Bosnia and Herzegovina,BIH,2.5,Upper middle income,7237.27
Botswana,88.5,88.0,88.9,0.9,1/01/2015,,Botswana,BWA,22.9,Upper middle income,7244.16
Brazil,93.2,93.0,93.4,0.4,1/01/2018,,Brazil,BRA,4.7,Upper middle income,7794.88
Bulgaria,98.4,98.7,98.1,0.6,1/01/2015,,Bulgaria,BGR,2.5,High income,12219.34
Burkina Faso,39.3,49.2,31.0,18.2,1/01/2018,,Burkina Faso,BFA,16.2,Low income,888.8
Burundi,68.4,76.3,61.2,15.1,1/01/2017,,Burundi,BDI,,Low income,221.16
Cambodia,80.5,86.5,75.0,11.5,1/01/2015,,Cambodia,KHM,4.8,Lower middle income,1625.24
Cameroon,77.1,82.6,71.6,11.0,1/01/2018,,Cameroon,CMR,6.4,Lower middle income,1654.26
Canada,99.0,,,,,,Canada,CAN,2.5,High income,52496.84
Central African Republic,37.4,49.5,25.8,23.7,1/01/2018,,Central African Republic,CAF,48.7,Low income,461.14
Chad,22.3,31.3,14.0,17.3,1/01/2016,,Chad,TCD,31.4,Low income,685.69
Chile,96.3,96.3,96.3,0.0,1/01/2017,,Chile,CHL,2.5,High income,16185.91
China,96.8,98.5,95.2,3.3,1/01/2018,,China,CHN,2.5,Upper middle income,12617.51
Colombia,95.6,95.4,95.9,0.5,1/01/2020,,Colombia,COL,6.6,Upper middle income,6182.96
Comoros,58.8,64.6,53.0,11.6,1/01/2018,,Comoros,COM,13.5,Lower middle income,1577.47
Costa Rica,97.9,97.8,97.9,0.1,1/01/2018,,Costa Rica,CRI,3.0,Upper middle income,12604.05
Croatia,99.3,99.7,98.9,0.8,1/01/2015,,Croatia,HRV,2.5,High income,17943.42
Cuba,99.8,99.9,99.8,0.1,1/01/2015,,Cuba,CUB,2.5,Upper middle income,
Cyprus,99.1,99.5,98.7,0.8,1/01/2015,,Cyprus,CYP,2.5,High income,32745.84
Denmark,99.0,,,,,,Denmark,DNK,2.5,High income,69268.65
Djibouti,,,,,,,Djibouti,DJI,16.8,Lower middle income,3062.55
Dominica,92.0,,,,,,Dominica,DMA,6.7,Upper middle income,7668.16
Dominican Republic,93.8,93.8,93.8,0.0,1/01/2016,,Dominican Republic,DOM,6.3,Upper middle income,8476.75
Ecuador,93.6,94.8,92.5,2.3,1/01/2020,,Ecuador,ECU,13.9,Upper middle income,6036.45
Egypt,71.2,76.5,65.5,11.0,1/01/2017,,Egypt,EGY,7.2,Lower middle income,3886.72
El Salvador,89.1,91.3,87.3,4.0,1/01/2019,,El Salvador,SLV,7.7,Upper middle income,4599.68
Equatorial Guinea,95.3,97.4,93.0,4.4,1/01/2015,,Equatorial Guinea,GNQ,,Upper middle income,7473.93
Eritrea,76.6,84.4,68.9,15.5,1/01/2018,,Eritrea,ERI,,Low income,
Estonia,99.8,99.8,99.8,0.0,1/01/2015,,Estonia,EST,2.5,High income,27698.48
Ethiopia,51.8,57.2,44.4,12.8,1/01/2017,,Ethiopia,ETH,21.9,Low income,925.0
Fiji,99.1,99.1,99.1,0.0,1/01/2018,,Fiji,FJI,6.6,Upper middle income,4656.05
Finland,100.0,,,,,,Finland,FIN,2.5,High income,53504.69
France,99.0,,,,,,France,FRA,2.5,High income,43671.31
Gabon,84.7,85.9,83.4,2.5,1/01/2018,,Gabon,GAB,23.0,Upper middle income,8635.8
Georgia,99.6,99.7,99.5,0.2,1/01/2019,,Georgia,GEO,2.9,Upper middle income,5083.61
Germany,99.0,,,,,,Germany,DEU,2.5,High income,51426.75
Ghana,79.0,83.5,74.5,9.0,1/01/2018,,Ghana,GHA,4.9,Lower middle income,2422.09
Greece,97.9,98.5,97.4,1.1,1/01/2018,,Greece,GRC,2.5,High income,20310.68
Grenada,98.6,98.6,98.6,0.0,1/01/2014,,Grenada,GRD,,Upper middle income,9010.51
Guatemala,80.8,85.3,76.7,8.6,1/01/2018,,Guatemala,GTM,13.3,Upper middle income,5029.48
Guinea,39.6,54.4,27.7,26.7,1/01/2018,,Guinea,GIN,12.9,Lower middle income,1189.18
Guinea-Bissau,59.9,71.8,48.3,23.5,1/01/2015,,Guinea-Bissau,GNB,37.9,Low income,836.87
Guyana,88.5,87.2,89.8,2.6,1/01/2015,,Guyana,GUY,2.5,High income,9994.65
Haiti,61.7,65.3,58.3,7.0,1/01/2016,,Haiti,HTI,45.0,Lower middle income,1823.74
Honduras,88.5,88.2,88.7,0.5,1/01/2019,,Honduras,HND,18.7,Lower middle income,2738.22
